game,console,Publisher,Release Year,Release Month,Release Day,Total Shipped,NA Sales,PAL Sales,Japan Sales,Other Sales,NS,PS4,XBOX ONE,PC,Genre(s),VGChartz Score,Metacritic(Critic),Metacritic(User),4Players,Destructoid,Edge,EGM,Game Informer,GameRevolution,GameSpot,GamesRadar+,IGN,Famitsu,Famitsu*5/2,Introduction
LEGO Worlds,PS4,Warner Bros. Interactive Entertainment,2017,3,7,1140000,210000,720000,40000,170000,1,1,1,1,"Action Adventure, Sandbox",N/A,66,64,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72,N/A,#VALUE!,"Lego Worlds is a Lego-themed sandbox game developed by Traveller's Tales and published by Warner Bros. Interactive Entertainment. The game allows players to build constructions in a 3D procedurally generated world. A beta version of the game was released on 1 June 2015 on Steam Early Access. It was released on 7 March 2017 for Microsoft Windows, PlayStation 4, and Xbox One. A version for Nintendo Switch was released on 5 September 2017 in North America and 8 September 2017 in Europe. "
The Elder Scrolls V: Skyrim VR,PS4,Bethesda Softworks,2017,11,17,1130000,470000,470000,100000,190000,1,1,1,1,"Role-Playing, Western-Style",N/A,77,80,N/A,N/A,N/A,N/A,95,N/A,90,N/A,95,40,100,"The Elder Scrolls V: Skyrim VR, was released in November 2017 for the PlayStation 4 using PlayStation VR, and for Windows-based VR headsets in April 2018."
LEGO Marvel Super Heroes 2,PS4,Warner Bros. Interactive Entertainment	,2017,11,14,1110000,330000,600000,0,180000,1,1,1,1,"Action, Platformer",N/A,73,72,80,N/A,N/A,N/A,N/A,N/A,70,N/A,80,N/A,#VALUE!,"Lego Marvel Super Heroes 2 is a Lego-themed action-adventure video game developed by Traveller's Tales and published by Warner Bros. Interactive Entertainment for Microsoft Windows, PlayStation 4, Nintendo Switch and Xbox One on 14 November 2017, and by Feral Interactive for macOS on 2 August 2018. It is the sequel to 2013's Lego Marvel Super Heroes and the third installment of the Lego Marvel franchise."
EA Sports UFC,PS4,Electronic Arts,2014,6,17,1110000,490000,430000,10000,180000,0,1,1,0,"General, Sports, Individual, Combat",N/A,70,61,79,70,N/A,90,80,80,50,70,68,N/A,#VALUE!,"EA Sports UFC is a mixed martial arts fighting video game developed in a collaboration between EA Canada and SkyBox Labs, and published by EA Sports for PlayStation 4 and Xbox One. It is based on the Ultimate Fighting Championship (UFC) brand and was released on June 17, 2014. A playable demo was released on the PlayStation Network and Xbox Marketplace on June 3, 2014, with cover athletes Jon Jones and Alexander Gustafsson as playable fighters. It is the first UFC game since THQ sold the license to Electronic Arts."
Alien: Isolation,PS4,Sega,2014,10,7,1090000,290000,590000,50000,160000,1,1,1,1,"Action Adventure, Sci-Fi, General, Survival",N/A,79,82,82,85,N/A,80,77.5,90,60,90,59,N/A,#VALUE!,"Alien: Isolation is a 2014 survival horror video game developed by Creative Assembly and published by Sega originally for Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360 and Xbox One. Based on the Alien science fiction horror film series, the game is set 15 years after the events of the original 1979 film Alien, and follows engineer Amanda Ripley, daughter of Alien protagonist Ellen Ripley, as she investigates the disappearance of her mother. "
MLB The Show 18,PS4,Sony Interactive Entertainment	,2018,3,27,1060000,860000,N/A,N/A,200000,0,1,0,0,"Sports, Team, Baseball, Sim",N/A,82,63,85,N/A,N/A,90,67.5,N/A,90,N/A,85,N/A,#VALUE!,"MLB The Show 18 is a baseball video game by San Diego Studio and published by Sony Interactive Entertainment, based on Major League Baseball (MLB). It is the thirteenth entry of the MLB: The Show franchise, and was released worldwide on March 27, 2018, for PlayStation 4. New York Yankees outfielder Aaron Judge is featured as the cover star for the U.S. version, while Toronto Blue Jays pitcher Marcus Stroman is on the cover of the Canadian version. A limited number of people were invited to a closed alpha, which began on December 22, 2017, until December 26, 2017, to test the online servers. Those who pre-ordered the game received access to the game four days early, able to pick up their copy of the game on March 23, 2018. "
The Evil Within 2,PS4,Bethesda Softworks,2017,10,13,1050000,310000,490000,90000,150000,0,1,1,1,"Action Adventure, Survival",N/A,76,85,80,70,N/A,80,77.5,70,80,70,80,N/A,#VALUE!,"The Evil Within 2is a third-person survival horror video game developed by Tango Gameworks and published by Bethesda Softworks for PlayStation 4, Windows and Xbox One. The game was released worldwide in October 2017, and is the sequel to the 2014 video game The Evil Within.The game received generally positive reviews; like its predecessor, it received praise for its visuals, atmosphere, and gameplay but received some criticism for its story and characters. "
Prey (2017),PS4,Bethesda Softworks,2017,5,5,1040000,250000,620000,20000,160000,0,1,1,1,"General, Action, Shooter, First-Person, Arcade",N/A,79,79,90,80,N/A,80,82.5,80,60,90,80,N/A,#VALUE!,"Prey is a first-person shooter video game developed by Arkane Studios and published by Bethesda Softworks. The game was released worldwide on 5 May 2017, for Microsoft Windows, PlayStation 4 and Xbox One. "
MLB 15: The Show,PS4,Sony Computer Entertainment America,2015,3,31,1010000,750000,80000,N/A,190000,0,1,0,0,"Sports, Team, Baseball, Sim",N/A,80,77,N/A,70,N/A,N/A,80,N/A,80,80,85,N/A,#VALUE!,"MLB 15: The Show is a Major League Baseball video game developed by San Diego Studio and published by Sony Computer Entertainment. It is the tenth entry of the MLB: The Show franchise, and was released on March 31, 2015, for PlayStation 3, PlayStation 4 and PlayStation Vita."
Steep,PS4,Ubisoft,2016,12,2,1010000,230000,600000,20000,150000,0,1,1,1,"Sports, Individual",N/A,71,64,82,60,70,60,85,80,70,70,79,N/A,#VALUE!,"Steep is a sports video game developed by Ubisoft Annecy and published by Ubisoft. It was released worldwide on 2 December 2016 for Microsoft Windows, PlayStation 4 and Xbox One. "
LEGO Marvel's Avengers,PS4,Warner Bros. Interactive Entertainment	,2016,1,26,1010000,310000,530000,10000,160000,0,1,1,1,"Action Adventure, General",N/A,71,71,82,60,N/A,N/A,77.5,N/A,70,N/A,67,N/A,#VALUE!,"Lego Marvel's Avengers is a Lego-themed action-adventure video game developed by Traveller's Tales and published by Warner Bros. Interactive Entertainment, for the PlayStation 4, PlayStation 3, PlayStation Vita, Nintendo 3DS, Wii U, Xbox One, Xbox 360, Macintosh, and Microsoft Windows. It is the spin-off to Lego Marvel Super Heroes and the second installment of the Lego Marvel franchise.The game primarily follows the plots of both The Avengers and Avengers: Age of Ultron, as well as their Marvel Cinematic Universe (MCU) films Captain America: The First Avenger, Iron Man 3, Thor: The Dark World, and Captain America: The Winter Soldier. "
Evolve,PS4,2K Games,2015,2,10,1010000,380000,410000,50000,160000,0,1,1,1,"Sci-Fi, Action, Shooter, First-Person, Arcade",N/A,76,43,85,60,N/A,N/A,85,80,80,70,90,N/A,#VALUE!,"Evolve is a first-person shooter video game developed by Turtle Rock Studios and published by 2K Games. Announced in January 2014, the game was released worldwide for Microsoft Windows, PlayStation 4, and Xbox One in February 2015. Evolve uses an asymmetrical multiplayer structure, where five players—four playing as hunters and one as the monster—battle against each other on an industrialized alien planet called Shear. The hunters' gameplay is based on the first-person shooter design, while the monsters are controlled from a third-person perspective. The hunters' goal is to eliminate the monster, while the monster's goal is to consume wildlife and evolve to make themselves stronger before either eliminating the hunters, or successfully destroying the objective. "
ARK: Survival Evolved,PS4,Studio Wildcard,2017,8,29,1000000,N/A,N/A,N/A,N/A,1,1,1,1,"Action Adventure, Survival, Sandbox",N/A,69,46,N/A,70,N/A,N/A,N/A,N/A,60,N/A,77,N/A,#VALUE!,"Ark: Survival Evolved  is a 2017 action-adventure survival video game developed by Studio Wildcard, in collaboration with Instinct Games, Efecto Studios, and Virtual Basement. In the game, players must survive being stranded on an island filled with roaming dinosaurs and other prehistoric animals, natural hazards, and potentially hostile human players. "
Final Fantasy Type-0 HD,PS4,Square Enix,2015,3,17,1000000,N/A,N/A,N/A,N/A,0,1,1,1,"Role-Playing, Action RPG",N/A,72,75,77,N/A,N/A,N/A,60,N/A,80,70,80,N/A,#VALUE!,"Final Fantasy Type-0 HD  is an action role-playing game developed by Square Enix and HexaDrive, and published by Square Enix for PlayStation 4 and Xbox One, and later for Microsoft Windows via Steam. It was released worldwide in March 2015, while the Steam port was released in August 2015. Type-0 HD is a high-definition remaster of the Japan-exclusive PlayStation Portable game Final Fantasy Type-0, a spin-off from the main Final Fantasy series and part of the Fabula Nova Crystallis subseries, a set of games sharing a common mythos. The story focuses on Class Zero, a group of fourteen students from the Dominion of Rubrum who must fight the neighboring Militesi Empire when they launch an assault on the other Crystal States of Orience. In doing so, the group become entangled in both the efforts to push back and defeat the forces of Militesi, and the secret behind the war and the existence of the crystals. "
inFAMOUS: Second Son,PS4,Sony Computer Entertainment,2014,3,21,1000000,N/A,N/A,N/A,N/A,0,1,0,0,"Sci-Fi, Action Adventure, Open-World",N/A,80,80,74,95,70,N/A,N/A,N/A,80,N/A,87,N/A,#VALUE!,"Infamous Second Son  is a 2014 action-adventure video game developed by Sucker Punch Productions and published by Sony Computer Entertainment for PlayStation 4. It is the third installment in the Infamous series. The game was released worldwide on March 21, 2014. The player-controlled protagonist possesses superpower abilities that players use in combat and when traveling across the city. The story follows protagonist Delsin Rowe fighting the Department of Unified Protection (D.U.P.) in a fictionalized Seattle. Over the course of the game, Delsin acquires new powers and becomes either good or evil as player choices influence his morality. "
Knack,PS4,Sony Computer Entertainment	,2013,11,15,1000000,N/A,N/A,N/A,N/A,0,1,0,0,"Action, Action Adventure, General, Linear",84,54,64,55,70,30,45,82.5,40,40,N/A,59,28,70,"Knack is a platforming video game developed by Japan Studio and published by Sony Computer Entertainment for the PlayStation 4 video game console. The game was released in November 2013 and in Japan in February 2014, where it was available as a bundle with the console. "
WWE 2K19,PS4,2K Sports,2018,10,9,980000,360000,460000,N/A,160000,0,1,1,1,"Sports, Individual, Combat, Wrestling",N/A,76,60,74,70,N/A,N/A,N/A,70,70,80,73,N/A,#VALUE!,"WWE 2K19 is a professional wrestling video game developed by Yuke's and published by 2K Sports. It was released worldwide on October 9, 2018 for Microsoft Windows, PlayStation 4, and Xbox One. It is the twentieth game made in the WWE game series (sixth under the WWE 2K banner), and the successor to WWE 2K18. WWE 2K19 was the last WWE game to be developed by Yuke's after 18 years of being in development within the franchise. A sequel, WWE 2K20, was released on October 22, 2019, this time being developed by Visual Concepts. "
Injustice: Gods Among Us Ultimate Edition,PS4,Warner Bros. Interactive Entertainment	,2013,11,15,980000,460000,350000,N/A,170000,0,1,1,1,"Action, Fighting, Fighting",N/A,80,72,80,N/A,N/A,95,90,N/A,70,N/A,82,N/A,#VALUE!,"Injustice: Gods Among Us is a fighting video game based upon the fictional universe of DC Comics. The game was developed by NetherRealm Studios and published by Warner Bros. Interactive Entertainment for the PlayStation 3, Xbox 360, and Wii U. It was released in April 2013 in North America, Europe, and Australia, and June 2013 in Japan. An expanded version of the game, titled Injustice: Gods Among Us – Ultimate Edition, was released in November 2013 for the PlayStation 3, PlayStation 4, PlayStation Vita, Xbox 360, and Microsoft Windows. A free-to-play mobile app based on Injustice was also released for Android and iOS devices. A prequel comic book series of the same name, written by Tom Taylor, was released beginning in January 2013. "
EA Sports UFC 3,PS4,EA Sports,2018,2,2,970000,400000,410000,10000,160000,0,1,1,0,"Sports, General, Individual, Combat",N/A,75,40,79,N/A,N/A,50,87.5,N/A,80,70,75,N/A,#VALUE!,"EA Sports UFC 3 is a mixed martial arts fighting video game developed by EA Canada and was published by EA Sports. Conor McGregor, one of the previous cover fighters of EA Sports UFC 2, returned as the official cover fighter of the game. Serving as the sequel to 2014's EA Sports UFC and 2016's EA Sports UFC 2, it was released on February 2, 2018, for PlayStation 4 and Xbox One"
Madden NFL 25,PS4,EA Sports,2013,11,15,960000,640000,150000,N/A,170000,0,1,1,0,"Sports, Football, Sim, Team",74,74,52,77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76,N/A,#VALUE!,"Madden NFL 25 is an American football sports video game based on the National Football League and published by EA Sports. It was released for PlayStation 3 and Xbox 360 in August 2013. Instead of numbering it Madden NFL 14 with the year like in previous versions, the ""25"" in the title refers to the 25th anniversary of the Madden NFL series. The eighth-generation console versions of Madden NFL 25 are the very first games to run on EA Sports's Ignite game engine. However, the seventh generation versions still run on EA's previous game engine, Impact. The seventh-generation versions featured former Detroit Lions running back Barry Sanders on the cover, while the eighth-generation versions featured Minnesota Vikings running back Adrian Peterson, and were released as launch titles for the first time on PlayStation 4 and Xbox One in November 2013. "
MLB 16: The Show,PS4,Sony Computer Entertainment America,2016,3,29,960000,780000,N/A,N/A,180000,0,1,0,0,"Sports, Team, Baseball, Arcade, Sim",N/A,85,73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93,N/A,#VALUE!,"MLB The Show 16 is a Major League Baseball video game developed by San Diego Studio and published by Sony Computer Entertainment. It is the eleventh entry of the MLB: The Show franchise, and was released on March 29, 2016, for PlayStation 3 and PlayStation 4"
Lego Batman 3: Beyond Gotham,PS4,Warner Bros. Interactive Entertainment,2014,11,11,940000,370000,420000,N/A,160000,0,1,1,1,"Action Adventure, General, Modern",N/A,73,69,77,70,N/A,N/A,75,60,70,60,74,N/A,#VALUE!,Lego Batman 3: Beyond Gotham is a Lego-themed action-adventure video game developed by Traveller's Tales and published by Warner Bros. Interactive Entertainment in November 2014 for multiple platforms. It is the third installment in the Lego Batman video game series and a sequel to Lego Batman: The Videogame and Lego Batman 2: DC Super Heroes.
Final Fantasy X / X-2 HD Remaster,PS4,Square Enix,2015,5,12,900000,340000,360000,70000,140000,1,1,1,1,"Miscellaneous, Compilation",N/A,84,84,83,80,N/A,N/A,90,N/A,80,80,93,N/A,#VALUE!,"Final Fantasy X/X-2 HD Remaster is a high-definition remaster of the role-playing video games Final Fantasy X and Final Fantasy X-2, originally developed by Square (now Square Enix) on the PlayStation 2 in the early 2000s. It also features story content previously only found in the International versions, and a new audio drama set a year after the events of X-2. The collection saw graphical and musical revisions and is based on the international versions of both games, making certain content accessible to players outside of Japan for the first time. "
Ni no Kuni II: Revenant Kingdom,PS4,Namco Bandai Games,2018,3,23,890000,330000,310000,120000,130000,1,1,0,1,"Action RPG, Role-Playing, Japanese-Style",87,84,75,85,75,N/A,85,80,70,80,90,78,38,95,"Ni no Kuni II: Revenant Kingdom is an action role-playing game developed by Level-5 and published by Bandai Namco Entertainment. The game is a sequel to Ni no Kuni: Wrath of the White Witch, and was released for Microsoft Windows and PlayStation 4 on March 23, 2018. The game is set to be released for the Nintendo Switch on September 17, 2021. "
God of War III Remastered,PS4,Sony Computer Entertainment	,2015,7,14,890000,400000,330000,20000,150000,0,1,0,0,"Action Adventure, Linear",N/A,81,82,93,N/A,N/A,N/A,90,N/A,80,N/A,88,N/A,#VALUE!,"God of War III is an action-adventure game developed by Santa Monica Studio and published by Sony Computer Entertainment (SCE). First released for the PlayStation 3 (PS3) console on March 16, 2010, the game is the fifth installment in the God of War series, the seventh chronologically and last in the Greek era of the franchise, and the sequel to 2007's God of War II. Loosely based on Greek mythology, the game is set in ancient Greece with vengeance as its central motif. The player controls the protagonist and former God of War Kratos, after his betrayal at the hands of his father Zeus, King of the Olympian gods. Reigniting the Great War, Kratos ascends Mount Olympus until he is abandoned by the Titan Gaia. Guided by Athena’s spirit, Kratos battles monsters, gods, and Titans in a search for Pandora, without whom he cannot open Pandora's Box, defeat Zeus, and end the reign of the Olympian gods. "
Fortnite,PS4,Gearbox Software,2017,7,21,890000,420000,320000,N/A,150000,1,1,1,1,"Action, Shooter, Third-Person, Tactical",N/A,78,37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96,N/A,#VALUE!,"Fortnite is an online video game developed by Epic Games and released in 2017. It is available in three distinct game mode versions that otherwise share the same general gameplay and game engine: Fortnite: Save the World, a cooperative hybrid-tower defense-shooter-survival game for up to four players to fight off zombie-like creatures and defend objects with traps and fortifications they can build; Fortnite Battle Royale, a free-to-play battle royale game in which up to 100 players fight to be the last person standing; and Fortnite Creative, in which players are given complete freedom to create worlds and battle arenas. Save the World and Battle Royale were released in 2017 as early access titles, while Creative was released on December 6, 2018. "
LEGO Harry Potter Collection,PS4,Warner Bros. Interactive Entertainment	,2016,10,18,880000,70000,680000,N/A,130000,1,1,1,0,"Miscellaneous, Compilation",N/A,73,74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"Lego Harry Potter is a Lego theme based on the films of the Harry Potter series. It is licensed from Warner Bros.. Lego models of important scenes, vehicles and characters were made for the first six films and all the books released. The first sets appeared in 2001, to coincide with the release of the first film, Harry Potter and the Philosopher's Stone. Subsequent sets were released alongside the new films, until Harry Potter and the Order of the Phoenix. The line then went dormant for three years, with sets being released in 2010 and 2011. In 2018, it was announced that more sets based on the Harry Potter franchise would be released, including new sets based on Fantastic Beasts and Where to Find Them and its sequel, Fantastic Beasts: The Crimes of Grindelwald. "
Minecraft: Story Mode,PS4,Mojang,2015,10,27,870000,310000,420000,N/A,130000,1,1,1,1,"Adventure, Point-and-Click",N/A,67,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"Minecraft: Story Mode is an episodic point-and-click graphic adventure video game developed and published by Telltale Games, based on Mojang's sandbox video game Minecraft. Mojang assisted with the development of the game. The first five episodes were released between October 2015 through March 2016, and an additional three episodes were released as downloadable content in mid-2016. A second season consisting of five episodes was released from July through December 2017. "
BioShock: The Collection,PS4,2K Games,2016,9,13,860000,410000,280000,30000,140000,1,1,1,1,"Action, Miscellaneous, Shooter, Compilation, First-Person, Arcade",N/A,84,85,N/A,N/A,N/A,N/A,N/A,80,N/A,N/A,82,N/A,#VALUE!,"BioShock: The Collection is a compilation of the BioShock video games, developed by Blind Squirrel Games and published by 2K Games. The collection features upgraded versions of BioShock, BioShock 2, and BioShock Infinite, with new textures and support for higher resolution displays and framerates. The collection was released in September 2016 for Microsoft Windows, PlayStation 4, and Xbox One; versions for macOS and Nintendo Switch followed in August 2017 and May 2020, respectively. "
Thief,PS4,Square Enix,2014,2,25,850000,280000,410000,30000,130000,0,1,1,1,"Fantasy, Action Adventure, General",N/A,67,62,59,75,70,35,80,N/A,60,70,68,N/A,#VALUE!,"Thief is a stealth video game developed by Eidos-Montréal and published by Square Enix's European subsidiary in February 2014 for Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360 and Xbox One video gaming platforms. Feral Interactive brought the game to macOS in November 2015. It is a revival of the cult classic Thief video game series of which it is the fourth installment. Initially announced in 2009 as Thief 4, it was later announced in 2013 that the game is a reboot for the series. "
Until Dawn: Rush of Blood,PS4,Sony Interactive Entertainment	,2016,10,13,850000,500000,210000,N/A,150000,0,1,0,0,"Action, Shooter, Rail",N/A,72,78,78,75,N/A,N/A,70,N/A,50,80,60,N/A,#VALUE!,"Until Dawn: Rush of Blood is a rail shooter developed by Supermassive Games and published by Sony Interactive Entertainment, released on 13 October 2016 worldwide for PlayStation VR headset on PlayStation 4. It is a direct spin-off from Until Dawn and features the player riding a horror-themed roller coaster while shooting at inanimate objects and live enemies."
Disney Infinity 3.0,PS4,Disney Interactive Studios,2015,8,30,850000,310000,400000,N/A,140000,0,1,1,1,"Action Adventure, General",N/A,80,60,82,N/A,N/A,N/A,85,N/A,80,N/A,89,N/A,#VALUE!,"Disney Infinity 3.0 is an action-adventure sandbox video game published by Disney Interactive Studios (the last game to be published by the company before their closure) for Microsoft Windows, PlayStation 3, PlayStation 4, Wii U, Xbox 360, Xbox One and Apple TV, and is the third and final installment in the toys-to-life Disney Infinity series. It was developed by Avalanche Software, with additional help from Ninja Theory, Studio Gobo, Sumo Digital, and United Front Games. In contrast to how Disney Infinity 2.0 focused on Marvel characters and playsets, 3.0 has a focus on the Star Wars franchise. The game was announced on May 5, 2015, and was released on August 28, 2015 in Europe and on August 30, 2015 in North America. "
Farming Simulator 17,PS4,Focus Home Interactive,2016,10,25,850000,190000,520000,10000,130000,1,1,1,1,"Simulation, Virtual",N/A,69,69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"Farming Simulator 17 was released on October 25, 2016. It features the return of Fendt since its last debut in Farming Simulator 2009, and also Massey Ferguson, Challenger, and Valtra. For the first time in the base game, soybeans, sunflowers, and oilseed radishes are introduced as growable crops. In previous games, the player would have had to download a modification to add these crops. The crop growing mechanics have been altered, to allow different ways to increase crop yield. These include fertilizing the fields multiple times throughout the growth stages, plowing the field after a set amount of harvests, de-weeding crops, or using oilseed radish as a cover crop. The missions system were also updated, allowing the player to do work for other in-game farmers. Other additions include drivable trains and an in-game radio. "
The Crew 2,PS4,Ubisoft,2018,6,29,820000,220000,420000,50000,120000,0,1,1,1,"Driving, Racing, Simulation, Automobile",65,64,55,76,70,N/A,65,60,N/A,80,70,70,N/A,#VALUE!,"The Crew 2 is a 2018 open world racing video game developed by Ivory Tower and published by Ubisoft for Microsoft Windows, PlayStation 4, Xbox One and Stadia. It is the sequel to 2014's The Crew. It features a persistent open world environment for free-roaming across a scaled-down recreation of the United States. The game allows players to control a variety of vehicles including cars, motorcycles, boats, and airplanes. "
Pro Evolution Soccer 2016,PS4,Konami Digital Entertainment,2015,9,15,820000,140000,430000,140000,100000,0,1,1,1,"Sports, Team, Soccer, Sim",N/A,87,72,80,N/A,N/A,N/A,90,80,90,90,96,N/A,#VALUE!,"Pro Evolution Soccer 2016 is a football simulation game developed by PES Productions and published by Konami for Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, and Xbox One. It is the fifteenth edition of the Pro Evolution Soccer series and marks PES Productions' 20th year of producing football games. The cover of the game features Neymar Jr (seen wearing his Brazil national team kit).The name of the game has been changed from ""World Soccer: Winning Eleven"" to ""Pro Evolution Soccer"" in Asia, except Japan where it is titled ""Winning Eleven"".PES 2016 was succeeded by Pro Evolution Soccer 2017. "
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,Square Enix,2015,10,13,810000,210000,140000,390000,70000,0,1,1,1,"Action, Beat-'Em-Up",N/A,77,76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62,N/A,#VALUE!,"Dragon Quest Heroes: The World Tree's Woe and the Blight Below[ is a hack and slash game developed by Omega Force and published by Square Enix. It was released for PlayStation 3 and PlayStation 4 in Japan in February 2015,[ and in North America, Australia and Europe only for PlayStation 4 in October 2015. It was later released for Microsoft Windows in December 2015. The game received generally positive reviews, with a sequel Dragon Quest Heroes II being released in Japan during May 2016. Dragon Quest Heroes would later be released with the sequel in a compilation for Nintendo Switch in Japan."
Yakuza 6: The Song of Life,PS4,Sega,2018,4,17,800000,N/A,N/A,N/A,N/A,0,1,1,1,"Action Adventure, Open-World",N/A,83,84,85,70,80,90,92.5,90,80,90,75,39,97.5,"Yakuza 6: The Song of Life is an action-adventure video game developed and published by Sega for PlayStation 4. The game is the seventh main entry in the Yakuza series,[ and was released in Japan in December 2016. The English version was released in Southeast Asia in March 2018, and worldwide the following month since its release in Japan in December 2016. Versions for Microsoft Windows and Xbox One were released in March 2021. The game was followed up by Yakuza Kiwami 2, a remake of the second game, and by Yakuza: Like a Dragon, the next chronological installment, released in 2020. "
Assassin's Creed The Ezio Collection,PS4,Ubisoft,2016,11,15,790000,140000,520000,20000,120000,0,1,1,0,"Miscellaneous, Compilation",N/A,72,81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,Assassin's Creed: The Ezio Collection is a collection comprised of graphically enhanced versions of games featuring Ezio Auditore da Firenze. It was released on 15 November 2016 in the United States and 18 November 2016 in the United Kingdom on PlayStation 4 and Xbox One. 
Final Fantasy XIV: A Realm Reborn,PS4,Square Enix,2014,4,14,790000,350000,230000,80000,120000,0,1,0,1,"Fantasy, Role-Playing, Massively Multiplayer",N/A,86,73,83,N/A,N/A,N/A,N/A,N/A,70,90,86,39,97.5,"Final Fantasy XIV is a massively multiplayer online role-playing game (MMORPG) developed and published by Square Enix. Directed and produced by Naoki Yoshida, it was released worldwide for Microsoft Windows and PlayStation 3 in August 2013, as a replacement for the failed 2010 version of the game, with support for PlayStation 4, PlayStation 5, and macOS releasing later. Final Fantasy XIV takes place in the fictional land of Eorzea, five years after the events of the original 2010 release. At the conclusion of the original game, the primal dragon Bahamut escapes from its lunar prison to initiate the Seventh Umbral Calamity, an apocalyptic event which destroys much of Eorzea. Through the gods' blessing, the player character escapes the devastation by time traveling five years into the future. As Eorzea recovers and rebuilds, the player must deal with the impending threat of invasion by the Garlean Empire from the north. "
Destiny: The Collection,PS4,Activision,2016,9,19,780000,240000,400000,20000,120000,0,1,1,0,"Action, Shooter, First-Person, Arcade",N/A,69,69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"Destiny - The Collection contains every release from the award-winning first-person shooter franchise to date. It's a great way for Guardians to embark on journeys they may have missed, as well as a perfect starting point for new players who want to join the Destiny community. It includes: Destiny, Expansion I: The Dark Below, Expansion II: House of Wolves, The Taken King, and the newest adventure, Rise of Iron. It also includes a character boost to send you immediately into the battle."
F1 2016,PS4,Codemasters,2017,1,1,780000,70000,560000,30000,110000,0,1,1,1,"Racing, Simulation, Automobile",N/A,82,79,85,N/A,N/A,N/A,80,N/A,80,N/A,88,N/A,#VALUE!,"F1 2016 is a racing game which is based on the 2016 Formula One season and was developed by Codemasters Birmingham, published by Codemasters, distributed by Deep Silver in North America and Ubisoft in Japan. The game was released on 19 August for PlayStation 4, Xbox One and PC.The game was also released for iOS, Android and tvOS on 10 November. A Mac version by Feral Interactive was released on 6 April 2017."
Hitman,PS4,Square Enix,2017,1,31,780000,240000,360000,60000,110000,0,1,1,1,"Modern, Action Adventure, General",N/A,84,77,77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"Hitman is a 2016 stealth video game that was developed by IO Interactive and was released episodically for Microsoft Windows, PlayStation 4 and Xbox One from March to October 2016. The game, which has six episodes, is the sixth mainline entry in the Hitman franchise, the first installment of the World of Assassination trilogy, and the successor to Hitman: Absolution (2012). The single-player story follows genetically-engineered assassin Agent 47 as he goes on a worldwide adventure and solves a mysterious series of seemingly unconnected assassinations. Hitman features a number of large, open-ended sandboxes that Agent 47 can freely explore. The game presents the player with various assassination opportunities, many of which are unconventional. IO Interactive introduced a ""live component"" to the game with new content being regularly delivered in downloadable form. "
Pro Evolution Soccer 2015,PS4,Konami Digital Entertainment,2014,11,11,760000,90000,450000,120000,100000,0,1,1,1,"Action, General, Sports, Team, Soccer, Sim",N/A,82,71,70,N/A,N/A,N/A,85,N/A,80,90,90,N/A,#VALUE!,"Pro Evolution Soccer 2015  is a football simulation game developed by PES Productions and published by Konami for Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, and Xbox One. It is the fourteenth edition of the Pro Evolution Soccer series. The cover of the game features Mario Götze of Bayern Munich (except for the Japanese version, whose cover art features Keisuke Honda of A.C. Milan). In this game, the slogan used was The Pitch is Ours for the first time. PES 2015 was succeeded by Pro Evolution Soccer 2016. "
LEGO City Undercover,PS4,Warner Bros. Interactive Entertainment	,2017,4,4,750000,170000,460000,10000,120000,1,1,1,1,"Action Adventure, Open-World",80,77,73,76,70,50,80,85,90,80,N/A,80,N/A,#VALUE!,"Lego City Undercover is an action-adventure video game developed by TT Fusion, originally released for the Wii U by Nintendo in 2013. It was later re-released for Nintendo Switch, PlayStation 4, Xbox One and Microsoft Windows via Steam by Warner Bros. Interactive Entertainment in 2017. The storyline, based on the City-themed toyline by Lego, the narrative follows cop Chase McCain as he returns to Lego City and pursues escaped crime boss Rex Fury. Gameplay features McCain both exploring the open world hub of Lego City, and completing self-contained levels featuring puzzles and combat. The original version was single-player only, while the re-release added local two-player multiplayer. "
